benchmark,file_id,speaker_id,label,generator,split,is_unseen_generator
asvspoof2019,asvspoof2019_real_spk_001_00,spk_001,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_001_01,spk_001,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_001_02,spk_001,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_001_03,spk_001,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_002_00,spk_002,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_002_01,spk_002,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_002_02,spk_002,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_002_03,spk_002,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_003_00,spk_003,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_003_01,spk_003,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_003_02,spk_003,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_003_03,spk_003,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_004_00,spk_004,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_004_01,spk_004,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_004_02,spk_004,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_004_03,spk_004,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_005_00,spk_005,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_005_01,spk_005,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_005_02,spk_005,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_005_03,spk_005,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_006_00,spk_006,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_006_01,spk_006,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_006_02,spk_006,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_006_03,spk_006,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_007_00,spk_007,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_007_01,spk_007,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_007_02,spk_007,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_007_03,spk_007,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_008_00,spk_008,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_008_01,spk_008,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_008_02,spk_008,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_008_03,spk_008,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_009_00,spk_009,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_009_01,spk_009,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_009_02,spk_009,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_009_03,spk_009,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_010_00,spk_010,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_010_01,spk_010,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_010_02,spk_010,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_010_03,spk_010,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_011_00,spk_011,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_011_01,spk_011,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_011_02,spk_011,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_011_03,spk_011,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_012_00,spk_012,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_012_01,spk_012,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_012_02,spk_012,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_012_03,spk_012,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_013_00,spk_013,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_013_01,spk_013,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_013_02,spk_013,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_013_03,spk_013,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_014_00,spk_014,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_014_01,spk_014,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_014_02,spk_014,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_014_03,spk_014,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_015_00,spk_015,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_015_01,spk_015,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_015_02,spk_015,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_015_03,spk_015,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_016_00,spk_016,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_016_01,spk_016,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_016_02,spk_016,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_016_03,spk_016,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_017_00,spk_017,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_017_01,spk_017,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_017_02,spk_017,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_017_03,spk_017,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_018_00,spk_018,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_018_01,spk_018,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_018_02,spk_018,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_018_03,spk_018,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_019_00,spk_019,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_019_01,spk_019,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_019_02,spk_019,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_019_03,spk_019,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_020_00,spk_020,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_020_01,spk_020,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_020_02,spk_020,real,human,train,False
asvspoof2019,asvspoof2019_real_spk_020_03,spk_020,real,human,train,False
asvspoof2019,asvspoof2019_fake_A01_neural_vocoder_spk_001_00,spk_001,fake,A01_neural_vocoder,train,False
asvspoof2019,asvspoof2019_fake_A01_neural_vocoder_spk_001_01,spk_001,fake,A01_neural_vocoder,train,False
asvspoof2019,asvspoof2019_fake_A01_neural_vocoder_spk_002_00,spk_002,fake,A01_neural_vocoder,train,False
asvspoof2019,asvspoof2019_fake_A01_neural_vocoder_spk_002_01,spk_002,fake,A01_neural_vocoder,train,False
asvspoof2019,asvspoof2019_fake_A01_neural_vocoder_spk_003_00,spk_003,fake,A01_neural_vocoder,train,False
