benchmark,file_id,speaker_id,label,generator,split,is_unseen_generator
wavefake,wavefake_real_ljs_001_00,ljs_001,real,human,train,False
wavefake,wavefake_real_ljs_001_01,ljs_001,real,human,train,False
wavefake,wavefake_real_ljs_001_02,ljs_001,real,human,train,False
wavefake,wavefake_real_ljs_001_03,ljs_001,real,human,train,False
wavefake,wavefake_real_ljs_002_00,ljs_002,real,human,train,False
wavefake,wavefake_real_ljs_002_01,ljs_002,real,human,train,False
wavefake,wavefake_real_ljs_002_02,ljs_002,real,human,train,False
wavefake,wavefake_real_ljs_002_03,ljs_002,real,human,train,False
wavefake,wavefake_real_ljs_003_00,ljs_003,real,human,train,False
wavefake,wavefake_real_ljs_003_01,ljs_003,real,human,train,False
wavefake,wavefake_real_ljs_003_02,ljs_003,real,human,train,False
wavefake,wavefake_real_ljs_003_03,ljs_003,real,human,train,False
wavefake,wavefake_real_ljs_004_00,ljs_004,real,human,train,False
wavefake,wavefake_real_ljs_004_01,ljs_004,real,human,train,False
wavefake,wavefake_real_ljs_004_02,ljs_004,real,human,train,False
wavefake,wavefake_real_ljs_004_03,ljs_004,real,human,train,False
wavefake,wavefake_real_ljs_005_00,ljs_005,real,human,train,False
wavefake,wavefake_real_ljs_005_01,ljs_005,real,human,train,False
wavefake,wavefake_real_ljs_005_02,ljs_005,real,human,train,False
wavefake,wavefake_real_ljs_005_03,ljs_005,real,human,train,False
wavefake,wavefake_real_ljs_006_00,ljs_006,real,human,train,False
wavefake,wavefake_real_ljs_006_01,ljs_006,real,human,train,False
wavefake,wavefake_real_ljs_006_02,ljs_006,real,human,train,False
wavefake,wavefake_real_ljs_006_03,ljs_006,real,human,train,False
wavefake,wavefake_real_ljs_007_00,ljs_007,real,human,train,False
wavefake,wavefake_real_ljs_007_01,ljs_007,real,human,train,False
wavefake,wavefake_real_ljs_007_02,ljs_007,real,human,train,False
wavefake,wavefake_real_ljs_007_03,ljs_007,real,human,train,False
wavefake,wavefake_real_ljs_008_00,ljs_008,real,human,train,False
wavefake,wavefake_real_ljs_008_01,ljs_008,real,human,train,False
wavefake,wavefake_real_ljs_008_02,ljs_008,real,human,train,False
wavefake,wavefake_real_ljs_008_03,ljs_008,real,human,train,False
wavefake,wavefake_real_ljs_009_00,ljs_009,real,human,train,False
wavefake,wavefake_real_ljs_009_01,ljs_009,real,human,train,False
wavefake,wavefake_real_ljs_009_02,ljs_009,real,human,train,False
wavefake,wavefake_real_ljs_009_03,ljs_009,real,human,train,False
wavefake,wavefake_real_ljs_010_00,ljs_010,real,human,train,False
wavefake,wavefake_real_ljs_010_01,ljs_010,real,human,train,False
wavefake,wavefake_real_ljs_010_02,ljs_010,real,human,train,False
wavefake,wavefake_real_ljs_010_03,ljs_010,real,human,train,False
wavefake,wavefake_real_ljs_011_00,ljs_011,real,human,train,False
wavefake,wavefake_real_ljs_011_01,ljs_011,real,human,train,False
wavefake,wavefake_real_ljs_011_02,ljs_011,real,human,train,False
wavefake,wavefake_real_ljs_011_03,ljs_011,real,human,train,False
wavefake,wavefake_real_ljs_012_00,ljs_012,real,human,train,False
wavefake,wavefake_real_ljs_012_01,ljs_012,real,human,train,False
wavefake,wavefake_real_ljs_012_02,ljs_012,real,human,train,False
wavefake,wavefake_real_ljs_012_03,ljs_012,real,human,train,False
wavefake,wavefake_real_ljs_013_00,ljs_013,real,human,train,False
wavefake,wavefake_real_ljs_013_01,ljs_013,real,human,train,False
wavefake,wavefake_real_ljs_013_02,ljs_013,real,human,train,False
wavefake,wavefake_real_ljs_013_03,ljs_013,real,human,train,False
wavefake,wavefake_real_ljs_014_00,ljs_014,real,human,train,False
wavefake,wavefake_real_ljs_014_01,ljs_014,real,human,train,False
wavefake,wavefake_real_ljs_014_02,ljs_014,real,human,train,False
wavefake,wavefake_real_ljs_014_03,ljs_014,real,human,train,False
wavefake,wavefake_fake_melgan_ljs_001_00,ljs_001,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_001_01,ljs_001,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_002_00,ljs_002,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_002_01,ljs_002,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_003_00,ljs_003,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_003_01,ljs_003,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_004_00,ljs_004,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_004_01,ljs_004,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_005_00,ljs_005,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_005_01,ljs_005,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_006_00,ljs_006,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_006_01,ljs_006,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_007_00,ljs_007,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_007_01,ljs_007,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_008_00,ljs_008,fake,melgan,train,False
wavefake,wavefake_fake_melgan_ljs_008_01,ljs_008,fake,melgan,train,False
wavefake,wavefake_fake_waveglow_ljs_001_00,ljs_001,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_001_01,ljs_001,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_002_00,ljs_002,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_002_01,ljs_002,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_003_00,ljs_003,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_003_01,ljs_003,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_004_00,ljs_004,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_004_01,ljs_004,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_005_00,ljs_005,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_005_01,ljs_005,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_006_00,ljs_006,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_006_01,ljs_006,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_007_00,ljs_007,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_007_01,ljs_007,fake,waveglow,train,False
wavefake,wavefake_fake_waveglow_ljs_008_00,ljs_008,fake,waveglow,train,False
